"","x"
"ALDOA",7197185.35356438
"ATP5I",7140858.78931093
"DYNLL1",7121883.69848987
"EIF2S3",7053930.61787814
"RPS3A",7021648.4443837
"RPL15",6985269.25193675
"SEPW1",6978787.6201875
"TMEM208",6954023.27569493
"RPS4Y1",6930343.91283455
"COX6B1",6861448.67468487
"DNAJA1",6854738.68266086
"TMEM176B",6847443.33923936
"ARPC3",6844606.46445291
"FAU",6843656.85276359
"ARF4",6809067.10159583
"GSTP1",6806832.42516778
"SCG3",6770379.70995994
"IFI30",6707907.5399146
"ENPP2",6691520.21249465
"ATP5H",6604882.82191502
"TMEM66",6567087.70708328
"MT1F",6540007.4241414
"ANXA2",6536505.61382779
"RPSA",6534329.88425219
"EIF3H",6519336.36931924
"ATP5L",6516128.00388189
"ANXA7",6492456.88076529
"TXLNA",6488307.76474776
"RPS14",6414993.06000605
"NDUFB2",6413556.90370139
"ERO1LB",6412905.35882624
"EEF1B2",6381797.39198921
"DBI",6370803.84166855
"LAMTOR4",6368401.12855805
"MDH1",6361860.7622964
"COX6C",6348303.16245122
"BROX",6344394.56748226
"S100A11",6343906.53493341
"OAZ1",6314966.89384556
"SERINC1",6312555.19164686
"BEX2",6205794.35053852
"EMC4",6139830.67098437
"RPS7",6138448.58065248
"YWHAZ",6137342.20401245
"PSME2",6136851.80506385
"CHGA",6135831.98646644
"MORF4L2",6131894.92835947
"RPS21",6130427.17193103
"PPA1",6127876.20576049
"NGFRAP1",6118373.17898241
"SEC61B",6101352.4265099
"SSR2",6075649.56313752
"PON2",6071271.16505415
"PSME1",6071055.21136463
"NPC2",6033937.38993077
"VDAC3",5995120.94912307
"SRPRB",5993019.47388084
"EIF3L",5982678.20744597
"SLIRP",5970503.00167663
"ATRAID",5920717.40093395
"SNRPD2",5877923.51117162
"CRYBA2",5861312.23563053
"ESD",5857117.5156744
"C6orf62",5831062.05482949
"LAMTOR5",5829704.15195395
"HERPUD1",5797738.79056059
"TVP23B",5751698.29356752
"PCNP",5686606.87877144
"XBP1",5686533.64933567
"DUSP1",5674721.94587237
"RPS15A",5671665.11232462
"BRK1",5650973.37851544
"SNRPN",5643169.64756873
"RPL6",5632724.70742454
"UBL5",5631734.18481143
"PRDX1",5625429.78878894
"POLR2K",5602296.27663044
"RPL17",5585153.57386534
"PRDX5",5577684.23336176
"HAX1",5571769.26492126
"ATP6V1F",5558502.26848523
"NOP10",5556652.58584308
"SDHD",5551662.97707447
"ETNK1",5542793.13866784
"RPL26",5496590.10927892
"RPL18",5496196.22147626
"TMEM60",5493280.34410709
"HSP90B1",5487088.74174761
"MAP1B",5481420.62783292
"VPS29",5477094.5764835
"DYNLT3",5475248.33321076
"NEUROD1",5471172.5923282
"PPT1",5463606.82371171
"RPS16",5456165.61478445
"CHCHD2",5446684.5097571
"DHRS7",5424425.02566899
"TECR",5411519.09012175
"EIF3E",5391090.72544766
"ATP5A1",5391000.98969328
"PET100",5375924.20887831
"IER3IP1",5346608.69557822
"GHITM",5330557.80197739
"SF3B5",5329348.66333268
"PSMA6",5300884.4081369
"ARL6IP5",5279379.87472575
"SRSF3",5271015.59238071
"ATP5G1",5243676.87322143
"LSM3",5217344.2783428
"WDR83OS",5208641.90772817
"FAM171B",5189718.2022881
"BEX4",5185450.50255423
"GPX2",5133820.79072804
"TOMM5",5128663.24212738
"ATP6V1E1",5127730.01492929
"PDCD4",5099315.06201601
"CALM1",5084949.24143893
"HSPE1",5042924.03897949
"YWHAQ",5029141.37237298
"EIF1B",5024060.82436921
"THAP5",4987235.54777282
"EIF3I",4985147.65195582
"NDUFB5",4977880.27761676
"VMP1",4976308.01669767
"PSMA4",4971868.44980387
"TALDO1",4941489.40394812
"SEC61G",4938998.75981406
"CTTN",4930328.68013492
"HEPACAM2",4901789.19089706
"ATP6V1D",4900016.3722826
"NDUFS4",4872593.85543926
"MT1E",4869847.24237449
"ASAH1",4862143.34776655
"TMEM126B",4861406.54290726
"CAPZA2",4854421.63124312
"MRPL51",4840259.21395139
"NDUFB3",4835846.44534167
"LDHA",4825754.56756869
"CCT8",4824184.83071427
"TBL1XR1",4804790.24966124
"FXYD5",4797301.78648011
"DNAJC3",4786495.14537957
"CD164",4778262.28483345
"COMMD3",4778091.24513542
"NDUFAB1",4770820.05510668
"CLK1",4769050.3294552
"BTG2",4756486.899345
"MRPL33",4755520.82145606
"PSMA2",4742157.86432526
"ARGLU1",4719779.55537888
"JKAMP",4711275.19651814
"PTPRN",4699144.25106514
"ADCYAP1",4690666.3944074
"TXN",4680252.26278603
"ATP6V1B2",4640712.58844941
"AKR1A1",4635516.40806938
"PCMT1",4628897.18876256
"MARCKS",4623654.48348073
"CCDC53",4622123.37159823
"BCYRN1",4620256.9664037
"GPX4",4606199.7448069
"STMN2",4601808.91338762
"ARPC2",4596201.00100201
"XRCC6",4588470.56622126
"SEP15",4587647.83015244
"GDI2",4565084.94754209
"RPS2",4563804.69120519
"ARL6IP1",4561360.63029582
"SDHB",4559059.24431736
"HSPD1",4537566.79408257
"EMC2",4527464.17485131
"EPCAM",4524936.02251474
"FAM76A",4517568.72665941
"ERGIC3",4512462.86634661
"ACAT1",4511703.86895802
"PAFAH1B2",4497162.11963478
"SOX4",4496632.67171732
"EIF3K",4468568.38691621
"PGK1",4457737.25729389
"PSAP",4455944.20751389
"TMEM33",4449068.30202336
"WSB1",4448504.27110614
"PSMB7",4447655.29904212
"RGS4",4441211.88814889
"PAM",4433931.27366765
"UQCRH",4430283.47575448
"SKP1",4411528.11127655
"PDHB",4390800.35940164
"RN7SL2",4379660.60639765
"C19orf77",4366621.54015485
"TRMT112",4360207.37742005
"CD46",4359660.39113744
"ATP5G2",4356576.37082976
"DNAJC12",4343368.77681204
"ATP1B1",4324720.88250798
"RPS20",4319780.41707526
"C6orf48",4312165.80221972
"COPS6",4302094.83466846
"NDUFA5",4302029.2818208
"TRAPPC4",4294379.95653386
"NDUFA3",4292190.54276794
"ATP6V0B",4290385.11504497
"VKORC1",4267817.71443255
"CALR",4264774.61619677
"SUMO1",4236057.86065596
"ROMO1",4231377.08150718
"PSMC5",4227977.98575285
"C14orf166",4218095.78272263
"ATP5F1",4215510.4672146
"NDUFB1",4212752.30021413
"RPL31",4207201.96858616
"RELL1",4206846.27980096
"RWDD2B",4201760.52276057
"UFC1",4198416.7727495
"OCIAD2",4171491.05154571
"RAB21",4157091.92852894
"SBDS",4155153.20239037
"PHPT1",4147149.75482834
"MMADHC",4143379.77879836
"PLP2",4077645.87557341
"SARNP",4074444.70078057
"ATP5J2",4074265.94485056
"LSM12",4069421.94939277
"CFC1",4067219.51283299
"ARF6",4060670.91441486
"NDUFA7",4058248.57952648
"TMEM14A",4048296.09932248
"MSMB",4046395.51435248
"TMBIM4",4044438.3550609
"LAPTM4A",4043494.22817077
"TCEB2",4033034.45222445
"CYB5A",3994164.50667604
"MRPL27",3978227.58456006
"DECR1",3967150.93045232
"SF3B14",3958905.24717026
"NDUFA9",3952028.62767531
"TMED2",3947968.07082932
"STRAP",3936582.4114169
"ABRACL",3932399.66087226
"DNAJB9",3931227.14188001
"ZNF165",3908739.02998325
"SNAP25",3893731.01877104
"RABAC1",3886980.85014993
"COPS4",3886476.92883993
"PSMA1",3879223.37302915
"MAPRE1",3870141.84211226
"MRPS33",3869475.96978411
"C1orf43",3845678.26728775
"TCEAL8",3843287.22324753
"POLR2G",3840003.73834252
"TOMM7",3839847.2988474
"MYL12A",3824142.31370237
"VPS25",3823813.3605846
"ST13",3810889.453327
"PPIA",3804455.65176037
"EIF3M",3804193.32776529
"ARF1",3800434.33074865
"TMEM219",3796096.76469583
"EIF4B",3767215.86021127
"NHP2",3763243.47410165
"HSBP1",3756247.13232033
"RTCB",3755159.31807834
"ERP29",3742083.71088158
"CNBP",3739279.42863832
"RBX1",3729307.12606557
"VAMP8",3723878.38971228
"ILF2",3718347.94981537
"METTL5",3716253.01764468
"LINC00657",3705829.2604119
"SLC39A9",3688026.59447368
"CUTA",3665161.99913377
"COMMD10",3660749.65849261
"PCSK1",3642307.89190674
"HMGN2",3628923.03811219
"PSMA7",3605050.92846368
"EIF6",3603417.6718545
"PSMC6",3571176.86235408
"ECHS1",3566675.55166671
"FAM46A",3558883.74543429
"HIGD2A",3557092.55415916
"MPV17",3537433.5986683
"ATF4",3530683.55152258
"HNRNPA2B1",3528337.45656638
"FKBP2",3521910.87132371
"TUBB",3515838.9037521
"SPINT2",3513416.92998778
"PTS",3498896.10729672
"HMGN3",3493973.79944
"SH3BGRL3",3492262.78428638
"TMSB10",3490212.32742896
"SH3BGRL",3485787.96240317
"CRYZ",3479230.55306981
"ANAPC13",3476600.08610873
"IRF2BP2",3475121.87941437
"BNIP3",3474124.03263789
"LOC284454",3464242.73707321
"PNPO",3461224.52247288
"CCT7",3460399.97882583
"TSPAN1",3457468.17985964
"CDC42SE2",3455903.56686424
"RRAGD",3454499.24763118
"REG1A",3452878.02719449
"USMG5",3434840.66313718
"FAP",3429729.9105707
"MIEN1",3424757.77255192
"NDUFB6",3423063.99770067
"ACTR10",3416892.23279066
"MSMO1",3405717.47436041
"FAM162A",3393066.65095489
"ABCC8",3381899.82670474
"HMGB1P5",3377964.8871213
"TMEM106C",3376875.84641581
"TAPBP",3371170.60293558
"TSR2",3370437.87701941
"ACP1",3362699.20742119
"EZR",3361641.83697746
"TMX2",3361614.95601481
"VDAC2",3360275.80593234
"COX7A2L",3359780.88359358
"RNA5.8SP6",3355273.66694406
"NUDT19",3354457.39898305
"HADHB",3346061.64728774
"CGRRF1",3325586.60922004
"RPS17L",3317029.51419261
"PAPSS2",3304569.57842263
"C16orf80",3301466.9204991
"TSTD1",3299898.70985029
"BTF3",3297665.5859086
"RPN2",3294714.38043064
"RAN",3285363.43772419
"CTSL",3280129.86585449
"TMEM147",3276982.92415581
"UBE2B",3276122.41290256
"LMBRD1",3267089.0705638
"CHMP2A",3265747.15110038
"ATOX1",3259974.32414168
"PCSK2",3251914.10251025
"TMED6",3250017.78109848
"SYPL1",3248143.85251009
"PTPLAD1",3242248.71598551
"MRPL13",3240751.54838505
"SCOC",3236367.80456422
"DGUOK",3230389.72365534
"CSDE1",3228039.82392069
"WBSCR22",3227603.87355969
"RPL36AP37",3225965.15716475
"HLA.B",3225322.63845448
"NDUFA6",3219297.01369176
"MRPL39",3213966.21994624
"RGS1",3210310.78697234
"RBM39",3204790.77396326
"FAM96B",3200318.38477562
"LOXL4",3187935.52989687
"PIGT",3187534.81511864
"PSMG2",3183135.94979718
"NPTX2",3170031.13807254
"HLA.E",3162609.80706316
"RPL10A",3157260.17416261
"BCAS2",3153001.24963187
"DCTN6",3149985.89293424
"MRPL36",3149696.06671736
"HNRNPA1",3149484.64086518
"MRPL32",3142623.11996307
"WDR61",3134783.96948116
"WBP5",3133090.77892933
"UQCR10",3132818.03150377
"LGALS3BP",3129058.4743736
"TXNL1",3123958.76516825
"BSCL2",3104730.14675463
"SDCBP",3093287.66058746
"RABGGTB",3087211.01066191
"ARPC1A",3086902.04192938
"PRDX4",3081037.85798328
"TAF9B",3079741.97788578
"EIF4G2",3077060.92138996
"ZMYM6NB",3074373.24422222
"MAGED2",3073666.64543812
"CSTB",3070828.38871076
"IFI27L2",3061807.93616126
"UQCRC1",3058995.51194146
"PON3",3045855.88038044
"FDPS",3033999.94518816
"UQCRC2",3032967.13702278
"RPA2",3027359.98987068
"POMP",3024850.00339897
"PNRC2",3016284.08125718
"RPL10",3009548.39623654
"UXT",3008243.09482679
"RDH11",3005051.27710585
"SVIP",3004066.63645311
"MRPL42",3001603.21657449
"NDUFB4",2998217.07108598
"C14orf2",2993867.3341074
"VAMP3",2982074.95650033
"COPB1",2972525.67397512
"IDI1",2971943.45988519
"WSB2",2971530.92112724
"RQCD1",2971336.70316606
"CHMP5",2959164.3794766
"PSMD7",2956945.73874293
"CCT3",2956825.8799662
"LDHB",2954762.35216069
"NIPSNAP3A",2951089.18388129
"TCEAL2",2939865.44167794
"DDX47",2936847.85465224
"CASC4",2935864.35049351
"HIGD1A",2933798.06242726
"CDC42",2932526.59239132
"PSMC1",2931323.01096358
"APOH",2926366.08387691
"CD59",2920352.50874706
"MTHFD2",2917148.26000057
"PSMD14",2911102.46042423
"COPB2",2910087.20401112
"CD24P4",2902865.31437129
"MRPS18A",2898265.17246659
"RSL24D1",2895121.55036403
"ARPC5",2882039.68701631
"RTN4",2881359.81860038
"UBA3",2881215.74912411
"IMPDH2",2880272.32037144
"NDUFB10",2878465.49782142
"ZDHHC2",2876386.0923698
"PLK2",2873553.94798692
"CTSA",2872551.57422188
"CADM1",2872241.07030966
"EFNA5",2871833.34700076
"MPC2",2869395.19627162
"CACUL1",2865206.70319343
"YIPF3",2864789.73343646
"DCUN1D4",2861289.5156803
"MEIS1",2859292.08486427
"RAB1A",2856879.64969539
"TOMM6",2854324.90800973
"RAB7A",2854212.56021206
"ATP6V1A",2851950.48786354
"NDUFB9",2846510.49201234
"SOD2",2843130.34003784
"GYG1",2842410.45604204
"C1GALT1C1",2835860.40875237
"SUCLG1",2829015.52120521
"C15orf48",2823833.20414691
"PAK1IP1",2819922.10994434
"FKBP3",2819290.53523247
"SNX3",2814283.81096593
"MARCH6",2813657.87729694
"ACAA2",2812213.93219372
"PTGES3",2809186.83272395
"UNC50",2805510.47041983
"NDUFB7",2805142.80169011
"MRPL47",2804422.70644706
"NARS",2803591.48629848
"NDUFA2",2802156.27124753
"GAS2",2800286.80585835
"CRBN",2797291.27690164
"BMP5",2794038.57209962
"RHBDD2",2782608.09451538
"RPS17",2782426.72283194
"ATP6V0D1",2780786.21943146
"NHP2L1",2763523.30759698
"CYP51A1",2762631.58154877
"UROD",2762020.11733071
"STRN3",2760779.53998521
"EAPP",2757066.67204911
"AKR1B1",2750869.00729841
"OCIAD1",2750167.59239901
"TIMM10",2749493.99284156
"HAT1",2749284.60957822
"SLC25A3",2747119.22652477
"RAP1B",2741255.92739322
"C1orf56",2741118.04367993
"CLIC1",2741052.79535976
"C1D",2739153.8564654
"REXO2",2733177.18143193
"SAR1B",2732000.45804482
"ISL1",2728121.5563001
"IL8",2719542.70083835
"SAP18",2715157.66597982
"PSMG3",2714401.17934138
"COA4",2713580.87891515
"HPRT1",2712973.65143864
"ASNS",2712890.59590481
"MUC13",2712339.94796115
"SERPINI1",2712201.95214709
"COPZ1",2711047.46675111
"EDN3",2710493.42272923
"DNAJC8",2708501.34221824
"HRSP12",2707596.9068892
"RASGEF1B",2701936.92811996
"GSTA1",2700264.03044415
"GLO1",2699839.75893317
"C5orf15",2693476.33494033
"TPPP3",2691611.42940123
"SNRPC",2689034.64931602
"CTNNB1",2688907.52953129
"PABPC1",2687479.47936023
"TAF7",2686614.13232797
"HSPA5",2682728.34966685
"NME2",2682429.44360431
"PPP1R14C",2680402.74018934
"RPS27L",2679105.78491212
"ECI2",2671412.79039993
"MRPL18",2670777.00508479
"CD99",2667782.73646274
"TIMM23",2666241.16331023
"MRPL48",2663818.49997083
"APRT",2655768.8142252
"TSG101",2655765.8112723
"EMC7",2647867.71242796
"CBFB",2635028.92512697
"IFI6",2633837.11358669
"MRFAP1L1",2632400.63846549
"SCFD1",2632038.14982177
"NMRK1",2629942.26929572
"MDH2",2626764.06106298
"COPS8",2624932.31662117
"SF3B1",2624751.15597774
"TM9SF2",2621436.15347137
"SDF2",2621280.09927457
"TIMMDC1",2621025.58756945
"NONO",2615504.63322421
"HILPDA",2615257.92624744
"WTAP",2611745.5109464
"POP5",2609627.61927999
"NME1",2603862.92449632
"ALG5",2601364.68885194
"C18orf32",2599932.22559386
"GTF3C6",2599020.29613518
"RTFDC1",2598468.01811227
"ACLY",2597520.57267976
"GNG5",2594986.16624334
"CSNK2B",2589820.67445939
"TCEAL1",2588658.70973774
"TRND",2585924.83436212
"SQSTM1",2584331.91250425
"SPCS2",2583062.08243958
"LUC7L3",2581813.49241292
"TARS",2575375.57941822
"RN7SL1",2575353.76318373
"ERLEC1",2575130.07963573
"SELT",2574169.36494793
"QDPR",2568670.02411047
"EXOSC7",2554923.68271904
"RPL32",2549788.47875892
"CTSB",2542040.22500376
"KCNK16",2541680.10042209
"PSMD4",2537423.01624617
"ZFAND1",2530943.39645549
"PPP3CA",2530412.1257726
"CNP",2528478.58313709
"SUMF2",2523009.53215912
"CCNG1",2511412.3175081
"ITGB1",2509715.49043043
"TAGLN2",2508102.23717802
"NDUFA13",2507143.01202195
"MRPS24",2504776.14414921
"SUCLA2",2503184.82357953
"ATP5J",2499161.71441974
"FBXO7",2494362.53249583
"FKBP9",2492884.30127802
"STT3A",2492361.03298373
"DAZAP2",2492339.00462514
"NFU1",2487953.30373306
"FAM32A",2487596.17272433
"NME7",2486552.3652636
"RPL7P9",2484708.72822729
"BLOC1S1",2483407.20512117
"HLA.DRA",2478981.17602329
"G3BP1",2476998.52297149
"CANX",2469069.8885773
"DDAH1",2467114.22014091
"FAM96A",2462886.31226583
"UCP2",2462179.20796331
"POLR2C",2459440.99422035
"PSMD6",2459406.7047103
"PRDX6",2457503.93769299
"CKB",2447638.71462476
"PRCP",2445668.52068853
"UBE4A",2445282.25643127
"BCAP31",2442966.96968088
"EBP",2441466.70765708
"CNEP1R1",2440575.76090898
"DHPS",2437312.72397766
"DRG1",2437248.53655139
"TIMM17A",2427870.82570868
"TIMP2",2423616.3989307
"APMAP",2418901.20543352
"MPC1",2411090.56042702
"LIN7C",2410722.56807791
"AEBP2",2410081.28438047
"ERGIC2",2406202.05173378
"FXYD6.FXYD2",2405851.91125523
"TM2D3",2403345.3719858
"CIRBP",2399523.90752292
"ZFAND6",2394577.38279644
"EIF3F",2391791.92657966
"ENO2",2385381.43997622
"SLC25A34",2381530.57489871
"EIF4E",2378205.20496882
"RAB33B",2374574.33606115
"NSMCE1",2373992.02921657
"GSTA4",2373673.68478558
"TOM1L1",2373094.91507726
"CXCL1",2370760.90582568
"TFG",2370729.89343759
"C12orf75",2369811.46799171
"S100A10",2369390.30151819
"UFM1",2368841.63101328
"COQ10B",2368516.82187173
"NDUFAF2",2361260.9161356
"PCBP1",2360907.28034077
"CDC123",2356024.84662231
"ELL2",2355525.69330961
"MTCH2",2355058.51974627
"COMMD1",2352328.42655216
"TRIAP1",2349225.75987605
"SNRPF",2346997.34477188
"PSMD10",2345458.50196193
"APOL2",2343465.2683314
"REEP5",2340209.2114788
"SH3BGRL2",2339870.92945996
"MITD1",2337470.34177024
"NAE1",2337296.59806833
"PSMD8",2335068.06037734
"TSPAN31",2334208.26305332
"CFDP1",2333056.69216101
"ARHGAP1",2327243.82365015
"TOMM34",2324910.35445381
"MRPS21",2321644.20705698
"ARL8B",2320691.23184453
"NIT2",2316285.02015646
"NFKBIA",2313282.89989427
"PJA2",2313222.08292602
"COPS3",2311091.19162907
"MRPL14",2306434.79209138
"TMED10",2306282.39175634
"DERL2",2305811.78382709
"HNRNPH2",2304737.2637375
"MAPK1IP1L",2304225.71189885
"TCTA",2300746.87528495
"TTC1",2298768.42704082
"SNRPD1",2296560.48596046
"ARG2",2292167.54975726
"PRG4",2290342.70150261
"THYN1",2290028.31180758
"DCTN3",2284576.82826781
"DDOST",2283627.44792843
"ETFDH",2272430.61264087
"CMC2",2268592.58965203
"LCMT1",2267507.18384638
"IDH1",2263856.55602776
"NUDT5",2262063.88839688
"MARS",2261534.37466996
"RPS23",2257954.63504163
"PFDN1",2254831.87785663
"STX8",2253848.12822488
"NOP58",2253544.5469324
"NDUFS2",2252164.81850651
"C11orf73",2250657.40899565
"SLC35B1",2250421.53402527
"ANKRD10",2248406.13984598
"NECAP1",2247897.32948142
"IGFBPL1",2244081.74107637
"MRPS9",2242873.71401033
"SNX24",2241917.52525215
"SSB",2239964.48615579
"MEA1",2239593.61014843
"TMEM209",2237729.61871052
"KLF10",2236524.41412957
"DNAJA2",2236072.63861497
"HSD17B12",2235909.13482487
"YWHAB",2234063.59700277
"ANO5",2227769.80904417
"LAMTOR1",2223413.93895614
"MED28",2222890.42294496
"REEP3",2222646.71722118
"C7orf73",2221436.64634734
"CDC26",2221072.9970942
"PHYH",2220973.08254884
"DARS",2220526.78784673
"CPB1",2217741.88485619
"MNF1",2216487.44834282
"SSR3",2215272.04327805
"ATPIF1",2212303.92270517
"SURF1",2210766.90905528
"MAGED1",2205822.54854111
"PIGC",2205750.01480952
"MAN1A1",2205308.63875088
"EIF3D",2204953.83300666
"PCBP2",2203480.03021696
"RPN1",2202529.85109325
