"","x"
"TACSTD2__chr1",513995.184566615
"HSP90AA1__chr14",513805.64308651
"SLC30A8__chr8",505645.761713448
"PNLIPRP2__chr10",503878.828517537
"COL4A2__chr13",490885.063816211
"COL4A1__chr13",481329.676344015
"PDK4__chr7",444072.119382994
"G6PC2__chr2",437247.031439674
"CFTR__chr7",427844.570536553
"IGFBP5__chr2",427387.460231839
"SCGN__chr6",415380.347069669
"CRP__chr1",414501.52067728
"HSPA5__chr9",412308.36430889
"SQSTM1__chr5",402599.050160647
"GSTA2__chr6",395695.903508742
"ERCC.00130",394496.178390853
"GC__chr4",387113.204223627
"TIMP3__chr22",385794.244194005
"ERCC.00074",379771.890519804
"VIM__chr10",374143.671428401
"CD59__chr11",369536.322520864
"GHRL__chr3",366649.221047331
"CLU__chr8",356786.211980476
"SOD2__chr6",352573.409744238
"SOX4__chr6",345991.074337325
"RPS12__chr6",342951.503710827
"TUBA1A__chr12",342494.773375601
"ITGB1__chr10",336275.964718546
"RPL41__chr12",331828.373644911
"CALD1__chr7",324762.201230108
"PAM__chr5",323163.679886716
"AKR1B10__chr7",315935.602978621
"RPS6__chr9",308695.182904357
"S100A6__chr1",307969.342881126
"IFITM3__chr11",306100.135172458
"CXCL2__chr4",305350.768438798
"CXCL1__chr4",300508.369150879
"ABCC8__chr11",295586.27464384
"TPM1__chr15",295027.089054983
"SEC11C__chr18",291119.728874142
"RPL10__chrX",290803.167760634
"CD74__chr5",290071.685377279
"TSPAN8__chr12",283212.939644017
"CELA2A__chr1",278623.133797075
"PTMA__chr2",272704.010313065
"KRT7__chr12",271412.107225927
"COL5A1__chr9",269867.940701301
"GAPDH__chr12",268510.178719171
"IL8__chr4",262934.161661157
"BEX1__chrX",261738.539049784
"SFRP2__chr4",254906.999465803
"NEUROD1__chr2",253936.380578647
"COL15A1__chr9",253126.932688071
"KRT18__chr12",250328.041973672
"SERPINA1__chr14",245888.535178468
"TM4SF1__chr3",244354.466347205
"NPTX2__chr7",243908.804853272
"TPM4__chr19",242891.995840212
"CFL1__chr11",237724.566860702
"HLA.A__chr6",234418.999513532
"ADH1C__chr4",229249.802516805
"ZFP36L1__chr14",228934.746303554
"CTRC__chr1",228737.131661675
"MAFB__chr20",227160.15988777
"MYH9__chr22",226775.842442537
"MUC13__chr3",226773.906283921
"HSPA1A__chr6",221505.485939229
"CCL20__chr2",220505.158300913
"ATP1B1__chr1",218888.588720256
"RPL13__chr16",218878.084320014
"S100A11__chr1",216542.712028295
"PAX6__chr11",215962.159295294
"SLC7A2__chr8",215528.702068096
"CTSB__chr8",215182.301598215
"HSP90B1__chr12",214921.16223547
"NEAT1__chr11",214497.764216387
"HSPB1__chr7",214235.702532025
"PPIA__chr7",213952.664745023
"RPS23__chr5",212761.374726108
"KRT19__chr17",210689.903746686
"MYL12B__chr18",209812.231628167
"TUBA1B__chr12",209546.556819048
"INHBA__chr7",207318.054617685
"HSP90AB1__chr6",200476.513785372
"LOXL4__chr10",199884.372388437
"RPL5__chr1",199314.474475854
"PXDN__chr2",199306.842609029
"UCHL1__chr4",195286.983206122
"ERO1LB__chr1",194913.312355201
"HSPA8__chr11",194791.271797553
"PABPC1__chr8",191853.06327734
"SCD__chr10",191146.515551992
"RGS4__chr1",191093.322609528
"RPL14__chr3",190280.336569649
"KRT8__chr12",188599.234791066
"RPS2__chr16",187599.287115649
"TIMP2__chr17",187596.338975602
"HLA.C__chr6",184721.837359227
"C10orf10__chr10",184397.475489479
"PMEPA1__chr20",183685.033660842
"KIAA1244__chr6",182908.841764001
"PRG4__chr1",182895.96473881
"AQP1__chr7",182157.015351647
"PLCE1__chr10",181951.501895093
"MAP1B__chr5",181845.012023652
"IER3__chr6",181791.523996711
"ATP1A1__chr1",181367.528536576
"IDS__chrX",176823.716488747
"RPL15__chr3",176599.254229004
"ID1__chr20",175087.575320821
"IFI30__chr19",173877.56319736
"KLF6__chr10",172039.663493668
"CCL2__chr17",171681.949657491
"HADH__chr4",170243.337064306
"CDKN1C__chr11",168950.953099063
"AQP3__chr9",163943.819127495
"RPL13AP20__chr12",163738.680749405
"C15orf48__chr15",163265.79219617
"ANXA5__chr4",162617.184615543
"AKR1C2__chr10",160005.244481948
"PTPRN__chr2",159922.279632256
"SPINT2__chr19",159428.746811964
"COL5A2__chr2",157592.707257389
"RPS20__chr8",156050.075007561
"CELA3B__chr1",149279.307261032
"CXCL6__chr4",148092.813190109
"GREM1__chr15",146428.406588111
"UGT2B15__chr4",146208.684944897
"KCNQ1OT1__chr11",145492.17515626
"TGFBI__chr5",144702.936726414
"CDKN1A__chr6",144272.674605818
"CEACAM6__chr19",144120.809374299
"RPL4__chr15",143874.315649848
"MGST1__chr12",143407.045912878
"SLC4A4__chr4",143220.402276051
"RPL3__chr22",142969.364442798
"RPL23__chr17",140804.323230339
"PRSS3__chr9",140497.299304097
"C3__chr19",139777.341733996
"FGG__chr4",139016.200321091
"RPL7A__chr9",136078.522057414
"ITM2B__chr13",136034.895496184
"XBP1__chr22",135920.804529871
"ENO1__chr1",135868.078373082
"RPL34__chr4",135737.670049717
"ONECUT2__chr18",134427.25107086
"TMEM176B__chr7",133318.01565323
"ERCC.00004",133025.345579677
"SURF4__chr9",131940.777918486
"RPS27A__chr2",131784.007245962
"ID2__chr2",131102.077532522
"BCAT1__chr12",130443.779400279
"DLK1__chr14",130300.88431824
"DSP__chr6",129957.198070952
"SPTBN1__chr2",128879.199136165
"SPON2__chr4",128829.852293686
"ERCC.00002",128341.636289995
"FLT1__chr13",127426.430609091
"EIF1__chr17",127287.805099074
"SCG3__chr15",126707.985661443
"AKR1C1__chr10",126082.960232054
"KLHL41__chr2",125740.489600069
"ALDH1A3__chr15",125487.477195121
"RPS8__chr1",125190.917816159
"CYGB__chr17",125151.960728057
"RPL37__chr5",124869.841193824
"PTGR1__chr9",124186.115001804
"IL11__chr19",123154.657675507
"RPL31__chr2",122722.094644793
"KCTD12__chr13",122519.21374315
"YWHAZ__chr8",122357.835718123
"AKR1C3__chr10",122323.378201696
"ERCC.00096",121307.266468033
"PSAP__chr10",121241.487705648
"RPL26__chr17",119606.712780269
"TXNRD1__chr12",119370.121068189
"PPP1R1A__chr12",118709.864149405
"RASD1__chr17",118349.022269393
"RPLP0__chr12",118225.02035995
"TNFAIP2__chr14",117817.597593078
"SYT13__chr11",117454.870308254
"PDGFRB__chr5",117187.096584567
"MYL12A__chr18",116644.813762044
"NPM1__chr5",116623.955255028
"UBC__chr12",116058.540768971
"UBD__chr6",115504.310757779
"BACE2__chr21",115101.252894705
"RPS16__chr19",114881.844274888
"RPL7__chr8",114741.525025281
"EEF2__chr19",113922.876169425
"H3F3B__chr17",113334.197985911
"SERPINH1__chr11",113041.670683393
"MT2A__chr16",113032.093175677
"GAD2__chr10",112984.49109333
"VEGFA__chr6",112122.220117262
"RPS27__chr1",111534.373055797
"CTSD__chr11",111458.432362287
"COL6A2__chr21",111177.565327801
"MUC1__chr1",111169.93243269
"MMP1__chr11",109493.552385743
"SLC7A11__chr4",109480.561220891
"PKM__chr15",108800.273236619
"SRXN1__chr20",108413.748641603
"H19__chr11",108190.986786815
"CLDN1__chr3",108106.744988026
"CALM1__chr14",107420.574448156
"ANPEP__chr15",106489.526844973
"RPLP1__chr15",106317.131556911
"MAFA__chr8",105765.966936628
"RAB11FIP1__chr8",105340.326428893
"RPS3A__chr4",105335.644286782
"PNLIPRP1__chr10",105314.959007366
"RPL9__chr4",104901.025268262
"DST__chr6",104616.194421299
"RPL13A__chr19",104104.097773852
"CRYBA2__chr2",103393.401501348
"MEG3__chr14",102992.506542258
"LCN2__chr9",102909.828062563
"FTH1P3__chr2",102069.284498479
"PAPSS2__chr10",101310.493166701
"GPX2__chr14",101002.095216144
"NAMPT__chr7",100703.343006049
"LGALS1__chr22",100647.898475078
"NAA20__chr20",100171.493873553
"NFKBIA__chr14",99887.2968898527
"LDHA__chr11",99760.2845093298
"COL5A3__chr19",99521.2175207563
"CD63__chr12",99407.3162459638
"HTRA1__chr10",99185.7980675299
"PLAU__chr10",98967.4612644113
"STC1__chr8",98929.6120953936
"SORL1__chr11",98073.123668027
"SCD5__chr4",97697.3907735971
"TUBB__chr6",97204.7240414794
"UNC5B__chr10",96992.714633074
"GPNMB__chr7",96952.5562687892
"RPL37A__chr2",96905.9625331913
"LUM__chr12",96291.446049908
"IGFBP4__chr17",96233.1132784456
"RPL10A__chr6",96167.4421598343
"UBB__chr17",95967.9197046552
"RAB3B__chr1",95610.3020064402
"EGR1__chr5",95102.015808473
"PEBP1__chr12",94883.0152858803
"INSM1__chr20",94094.5085683882
"MIR7.3HG__chr19",93835.3791075686
"SDC4__chr20",93753.6174908876
"SYNE2__chr14",93169.7843399906
"RPL12__chr9",93140.7162155346
"TMSB10__chr2",93040.1120508985
"FSTL1__chr3",92849.923871208
"UGDH__chr4",92458.9440419968
"RPL11__chr1",91799.557936633
"FAP__chr2",91486.5450652681
"EIF4A2__chr3",91426.6529062148
"DEFB1__chr8",91000.0342665825
"RPS15A__chr16",90976.035617657
"DKK3__chr11",90925.9726769906
"MICAL2__chr11",90192.5556235139
"GRN__chr17",89958.3547021137
"NGFRAP1__chrX",89762.9222129886
"FLJ44635__chrX",89663.9212507359
"MYL6__chr12",89627.806348817
"RPS24__chr10",89619.2909123255
"RPS13__chr11",88704.2725708797
"ENPP2__chr8",88663.6434633915
"PDX1__chr13",88583.7557518254
"RPL27A__chr11",88425.8100619246
"CRLF1__chr19",88259.6503619521
"THBS1__chr15",88226.8730906072
"EPCAM__chr2",87975.4986895178
"BGN__chrX",87793.6201747243
"EEF1B2__chr2",87500.9130943324
"APLP2__chr11",87289.3783337416
"RTN4__chr2",87273.3653555443
"RPS5__chr19",86284.7368661352
"PERP__chr6",85871.2293494891
"CLDN2__chrX",85821.3272619843
"PFN1__chr17",85663.9981524278
"PCSK1N__chrX",85492.3863403028
"GATM__chr15",85253.8094201139
"RPL32__chr3",84834.494321058
"RPL19__chr17",84575.6650290014
"CA12__chr15",84228.5286778326
"FOS__chr14",83893.6911008442
"RPS7__chr2",83796.7305851118
"RGS2__chr1",83709.6649380451
"RPL18A__chr19",83686.6196629379
"RNASE1__chr14",83400.9496275623
"VCAN__chr5",83374.0530220445
"PFN2__chr3",83312.7076890531
"CTGF__chr6",83180.1404136628
"EIF4G2__chr11",82508.0396031174
"AGT__chr1",82468.2464007514
"HES1__chr3",81680.8219841105
"GCH1__chr14",80408.8973084512
"FABP5__chr8",80384.073061671
"CYR61__chr1",80050.9669753251
"ASPH__chr8",79495.1032110357
"CEACAM7__chr19",79480.7873552036
"PRSS23__chr11",79396.2654161298
"LGALS2__chr22",78906.0599524995
"TTC3__chr21",78833.4698408511
"ELF3__chr1",78524.9732169921
"IL32__chr16",77928.5568390972
"RPS25__chr11",76996.5797731932
"GLS__chr2",76758.7004692591
"MARCKS__chr6",76391.404679924
"BIRC3__chr11",76309.5044120005
"TMBIM6__chr12",76305.3387346459
"CXCL3__chr4",75848.4370500406
"YWHAB__chr20",75847.0794609017
"NDUFA4__chr7",75842.1987417736
"IFITM2__chr11",75307.6655421979
"TFPI2__chr7",75245.4631475867
"REG3G__chr2",75175.1052287707
"TUSC3__chr8",75031.1830669155
"AHNAK__chr11",74283.5168908846
"KDR__chr4",73844.8394714313
"MEIS2__chr15",73777.8031034037
"MTUS1__chr8",73753.5401892521
"WNT5A__chr3",73281.2196909362
"PIGR__chr1",73039.3471031596
"QPCT__chr2",73029.8442194536
"MT1G__chr16",72598.064595963
"RPL6__chr12",72469.1829054565
"CD81__chr11",71829.9844527561
"ISL1__chr5",71299.8205993138
"FGL1__chr8",71262.6059851034
"CYP1A1__chr15",71205.334447856
"CAMK2N1__chr1",71043.8991377795
"ARRDC4__chr15",71012.8497694088
"ALCAM__chr3",70885.3052831209
"MAB21L3__chr1",70715.6818431343
"STXBP1__chr9",70210.2314046687
"RPS29__chr14",70167.5984117007
"RPS4X__chrX",70106.3822754081
"DNAJB1__chr19",69730.432165576
"SERPINA5__chr14",69533.26315838
"CAV2__chr7",69490.1359627313
"CRYAB__chr11",69084.213295757
"YBX1__chr1",68750.6694515245
"PTP4A2__chr1",68142.3167748637
"SERPING1__chr11",68127.5951280861
"GNB2L1__chr5",67978.4288474871
"LAMB1__chr7",67890.1755730786
"HMGB1__chr13",67771.737164971
"SEL1L3__chr4",67590.5010366489
"TXN__chr9",67570.1456078892
"ID3__chr1",67550.564707545
"CCNI__chr4",67365.768141282
"RPL35A__chr3",67357.0603689882
"HERPUD1__chr16",67163.1304246456
"JAK1__chr1",66850.6707477381
"LITAF__chr16",66782.8370648472
"ITGB8__chr7",66760.02798647
"EIF4B__chr12",66407.1356297096
"C11orf96__chr11",66322.7827743128
"ANXA2P2__chr9",66272.0482597027
"SGK1__chr6",66254.1778499689
"RPL23A__chr17",66194.4557673982
"TPD52__chr8",65883.4904931395
"NREP__chr5",65809.6587612401
"ERCC.00046",65519.7614158492
"CYP1B1__chr2",65311.8851927771
"LGALS4__chr19",64834.1352476561
"CDH1__chr16",64657.2331948221
"S100A10__chr1",64641.4559423215
"JUP__chr17",64621.7866604449
"TMBIM1__chr2",64550.8565185504
"BTG2__chr1",64396.510354005
"PDLIM1__chr10",64335.7070201335
"ALDH3A2__chr17",64304.4380174337
"EPAS1__chr2",64099.8654622762
"CSDE1__chr1",63947.1212636977
"PHLDA1__chr12",63884.5207082076
"RAP1GAP2__chr17",63461.0102714923
"LAMC2__chr1",63284.8694785835
"PALLD__chr4",63133.9914304494
"SNAI2__chr8",62870.4958480846
"RPL17__chr18",62791.082552406
"UGDH.AS1__chr4",62762.8932180579
"RLIM__chrX",62676.6198004142
"RPL27__chr17",62558.8674339533
"ATP5EP2__chr13",62376.2687640055
"FGA__chr4",62188.8944642731
"LAMC1__chr1",62055.4627819173
"LOXL2__chr8",61958.6406018266
"RSAD2__chr2",61946.1579711097
"RPS11__chr19",61655.5907923472
"ACLY__chr17",61445.6444352502
"TSPAN3__chr15",61273.478075312
"RBPJ__chr4",60752.1187741333
"CNIH2__chr11",60415.4234957428
"CD9__chr12",60359.8238648501
"COX8A__chr11",60246.0770401859
"TCN1__chr11",60188.7832650281
"UACA__chr15",60043.393562971
"ARPC2__chr2",59756.9238244742
"PRKAR1A__chr17",59736.5563390972
"PLCXD3__chr5",59667.3801487182
"CALM2__chr2",59640.1224481696
"KIAA1324__chr1",59502.0098735362
"PFKFB2__chr1",59370.6421616243
"GOLM1__chr9",58968.0918316123
"THBS2__chr6",58933.7257696639
"ATP5G3__chr2",58703.4276331817
"CASR__chr3",58573.8538216793
"PRDX1__chr1",58340.5945983219
"ISLR__chr15",58255.8631894056
"HSPH1__chr13",58125.3070396394
"PLAT__chr8",57600.3117531486
"TMC5__chr16",57497.4342510086
"SORBS2__chr4",57418.2446107082
"GABARAP__chr17",57293.9153412986
"TFRC__chr3",57243.7910893951
"PCLO__chr7",57219.8287061253
"MAN1A1__chr6",57204.3100093163
"CXCL17__chr19",57129.1938344072
"ITGA2__chr5",57006.798586884
"CALU__chr7",56643.1127806687
"MXRA7__chr17",56602.0013702943
"JUNB__chr19",56595.5867494598
"CANX__chr5",56421.274945321
"PDZK1IP1__chr1",56236.4717678355
"ITGA1__chr5",56135.8059024788
"ACTN1__chr14",56130.5100269965
"PPDPF__chr20",55815.7087245055
"STMN2__chr8",55781.2957319563
"RPL38__chr17",55768.9142407877
"RPS21__chr20",55498.8977128128
"RPS28__chr19",55458.0506775302
"IMPA2__chr18",55233.7235419606
"LAMA4__chr6",55186.8877911683
"CTSL1__chr9",55058.9472309574
"ATP5B__chr12",54994.6304290884
"SYT7__chr11",54882.4253568199
"AOX1__chr2",54867.9364221089
"CDC42EP3__chr2",54656.9748443319
"SMARCA1__chrX",54548.2318098656
"DCN__chr12",54410.0001969415
"ZNF292__chr6",54319.1885163329
"MXRA5__chrX",54276.1262120845
"LOC728392__chr17",54230.8356264054
"APCS__chr1",54137.3585131157
"RPL36AL__chr14",53897.8814511721
"ACTA2__chr10",53826.1488280833
"APLP1__chr19",53709.3048853974
"RPL30__chr8",53665.9929595254
"HSPA1B__chr6",53586.5008315532
"HIST1H4C__chr6",53550.077182429
"SLC22A17__chr14",53421.0816453316
"TNFRSF12A__chr16",53266.9214365432
"NQO1__chr16",52889.1090965698
"MAP2__chr2",52832.0312960147
"RPS3__chr11",52805.6815343155
"SLC25A3__chr12",52715.4486620959
"NFKBIZ__chr3",52691.3017551261
"RHOBTB3__chr5",52428.3432942408
"PLOD2__chr3",52427.7817538311
"LIF__chr22",52406.747054921
"AMY2B__chr1",52358.4255400142
"BEX2__chrX",52084.6165447704
"KLK1__chr19",51766.8920583675
"RPL36__chr19",51697.1326893808
"ZFAND5__chr9",51652.1260486688
"PTP4A1__chr6",51647.4748933278
"TMEM59__chr1",51623.4472673635
"TSPAN13__chr7",51573.5790014126
"FLRT2__chr14",51375.7886011224
"LAMP2__chrX",51335.7647819631
"SLC25A5__chrX",51299.5429404704
"RPLP2__chr11",51208.1762096363
"TMEM176A__chr7",51190.914897745
"LDHB__chr12",50991.659336011
"OCLN__chr5",50962.9907506984
"RAC1__chr7",50862.1154518039
"JUN__chr1",50476.1597086628
"CTSH__chr15",50326.886411088
"DUSP1__chr5",50072.0759590665
"MACF1__chr1",50069.2480897072
"FAM102A__chr9",49788.6578419186
"ATP5A1__chr18",49759.1663029047
"LTBP2__chr14",49735.6228352813
"MUC20__chr3",49734.9574067739
"TUBA1C__chr12",49537.3523045615
"P4HB__chr17",49478.2775801937
"CD151__chr11",49164.1151652468
"PAPPA__chr9",49119.6993749937
"LAPTM4B__chr8",49004.7772057012
"TSC22D1__chr13",48752.6324185483
"ELL2__chr5",48704.4814050769
"TC2N__chr14",48697.8227888753
"CHCHD2__chr7",48681.1529480047
"CLDN4__chr7",48608.5661289888
"TYROBP__chr19",48177.9371635512
"ATF4__chr22",48101.838482199
"DDX5__chr17",48076.3665591953
"ENAH__chr1",47920.9488608778
"LRRFIP1__chr2",47908.878109797
"TPM3__chr1",47865.6111906613
"RDX__chr11",47738.042545255
"TPPP3__chr16",47565.8633984245
"APP__chr21",47542.7275564177
"NCOA7__chr6",46838.4814450776
"IGFBP3__chr7",46835.9713332079
"ADCYAP1__chr18",46584.9658385243
"DUSP4__chr8",46390.3346831034
"CYB5A__chr18",46363.2787524546
"YWHAQ__chr2",46331.8594135991
"NPC2__chr14",46309.6096402458
"QDPR__chr4",45917.5600580049
"IRX2__chr5",45859.4692572186
"AKAP12__chr6",45782.7298298044
"PCK1__chr20",45717.9115350408
"PGAM1__chr10",45654.3911485814
"EDN1__chr6",45598.8785823915
"CADM1__chr11",45543.6246870447
"NUCKS1__chr1",45537.9715223918
"ARL6IP1__chr16",45531.4613771343
"COX7C__chr5",45530.1016109355
"TERF2IP__chr16",45521.9754221255
"INSR__chr19",45446.5586171615
"MAL2__chr8",45409.4638356515
"C6orf222__chr6",45357.8245266314
"ATP6AP2__chrX",45127.4762892495
"SLC3A2__chr11",44805.8351250403
"PTPRN2__chr7",44563.8446042822
"H2AFZ__chr4",44485.3320686173
"NOTCH3__chr19",44453.4300451261
"LIMS1__chr2",44300.9581681485
"SLC38A2__chr12",44161.0118862878
"CXCL5__chr4",44130.5340187681
"NFIB__chr9",44121.6825797826
"SERPINI2__chr3",43903.7371430373
"SCARB2__chr4",43902.2342900003
"KLF9__chr9",43778.3376521719
"TMEM97__chr17",43777.3649868393
"RPL39__chrX",43733.3291387239
"TNFRSF21__chr6",43566.2389993346
"TRAM1__chr8",43474.4869588999
"MYO6__chr6",43239.1980866621
"CAP1__chr1",43082.3338820506
"MMP9__chr20",42835.9356809085
"TGFBR3__chr1",42515.3321840828
"CLTC__chr17",42449.5458944347
"ARF4__chr3",42384.9036911388
"MCAM__chr11",42377.0766991623
"FILIP1L__chr3",42305.1663394767
"PCBP1__chr2",42292.4350330974
"FEV__chr2",42251.0710407859
"SLC12A2__chr5",42232.7825516771
"CSTB__chr21",42139.1094820353
"PLK2__chr5",42099.7145461917
"PLIN2__chr9",42099.5425556144
"COX6A1__chr12",41916.4767644065
"KIF5B__chr10",41884.6812106983
"PGK1__chrX",41860.7862761577
"ITGAV__chr2",41808.809804731
"EMP1__chr12",41736.5040573303
"MAGED1__chrX",41699.0910110736
"TXNIP__chr1",41664.9680820068
"DYNC1H1__chr14",41507.2620673408
"F3__chr1",41419.2746492065
"FAM134B__chr5",41315.4681365316
"DBI__chr2",41191.6574627934
"LGALS3__chr14",41190.4404233469
"NID1__chr1",41075.0975986594
"CLDN10__chr13",41065.5940074366
"ADAM9__chr8",40986.5269503026
"BEX4__chrX",40870.6929715056
"TUBB3__chr16",40868.0675928062
"CTSC__chr11",40833.1109461465
"SRP14__chr15",40806.759614371
"GOLGA4__chr3",40729.6391443959
"HMGN2__chr1",40713.1587623932
"HSD17B12__chr11",40694.0266633814
"LIPA__chr10",40692.6325212347
"HSPD1__chr2",40665.2671840915
"RAB31__chr18",40625.5677144409
"DHRS7__chr14",40572.5528627881
"FADS1__chr11",40561.3042660807
"SNAP25__chr20",40558.2946001629
"VTCN1__chr1",40543.1231286275
"GPR56__chr16",40370.718706941
"C1S__chr12",40351.8727746448
"SERINC1__chr6",40216.2271971208
"HLA.E__chr6",40197.9614612103
"FAM159B__chr5",40194.2576896739
"EID1__chr15",39956.6201212769
"CREB5__chr7",39952.3024096173
"MTDH__chr8",39774.7994634061
"TPI1__chr12",39769.6082588661
"SEL1L__chr14",39763.4638408803
"HEYL__chr1",39660.8948489021
"AKAP9__chr7",39622.8194006903
"CAPN2__chr1",39537.4188823412
"ADAMTS2__chr5",39480.3617594801
"ANKRD12__chr18",39448.3222869069
"HLA.DRA__chr6",39423.1090794
"SH3BP4__chr2",39392.8992732719
"DSG2__chr18",39387.9370925884
"PSAT1__chr9",39337.1083268092
"CPA3__chr3",39284.4205963741
"ATP13A3__chr3",39211.9616902723
"CD93__chr20",38939.3091902643
"TGM2__chr20",38842.643350585
"ENC1__chr5",38835.244454398
"ATP10B__chr5",38801.8831291228
"PTPRF__chr1",38738.7574338532
"SDS__chr12",38705.7822688445
"ENO2__chr12",38694.1346607443
"MORF4L1__chr15",38661.1676997484
"TFPI__chr2",38645.3012251687
"CDK2AP1__chr12",38638.9632495032
"ARX__chrX",38544.5623672002
"HSPA6__chr1",38487.3111811741
"TNFSF10__chr3",38377.3600549002
"RFX6__chr6",38326.2403559858
"RRAGD__chr6",38281.4209626456
"PTTG1IP__chr21",38217.9930499733
"EEF1G__chr11",38163.5803114274
"SERPINE2__chr2",38141.5852804972
"CRCT1__chr1",38139.1362716002
"LARP1__chr5",38076.059546259
"ATRX__chrX",38072.5109038712
"PDLIM3__chr4",37914.9428828686
"SEMA6A__chr5",37891.7041802222
"RHOA__chr3",37890.349539109
"PASK__chr2",37864.1095815835
"IQGAP1__chr15",37777.8746419705
"RPS19__chr19",37763.2214732058
"SPATS2L__chr2",37685.4968564783
"SERF2__chr15",37645.3434752394
"FAM107B__chr10",37555.8634711269
"RPS10__chr6",37431.5397294101
"SLC16A7__chr12",37398.3153936482
"BTG1__chr12",37397.5788527295
"C2CD4A__chr15",37379.4536543962
"FKBP1A__chr20",37323.4982253549
"CPA4__chr7",37300.3780279973
"CTSS__chr1",37277.3989636486
"HDLBP__chr2",37267.5249989636
"KIF5C__chr2",37217.1057132684
"ATP1B3__chr3",37158.1019501073
"CREB3L1__chr11",37085.1653381466
"HMOX1__chr22",37080.1118470468
"ITGA5__chr12",37017.4678450998
"PCDH17__chr13",36982.733398916
"ABHD2__chr15",36948.5766249363
"INSIG1__chr7",36910.0152593291
"CD47__chr3",36849.7461529077
"LAD1__chr1",36718.3717860556
"DDR1__chr6",36638.8329140014
"PRRC2C__chr1",36619.1319219579
"FAM84A__chr2",36595.4072371416
"CHI3L1__chr1",36588.9053517761
"DSTN__chr20",36479.7843079581
"HNRNPC__chr14",36422.1781093746
"TACC1__chr8",36357.9690691301
"STOM__chr9",36317.3705768826
"HN1__chr17",36306.588667065
"RNF213__chr17",36271.7778634223
"DCDC2__chr6",36254.8507390916
"HSD17B2__chr16",36245.3312266341
"UQCRQ__chr5",36192.3744791579
"SET__chr9",36132.5679006088
"HINT1__chr5",36052.5938245475
"DNAJC12__chr10",36037.4935615181
"TCF4__chr18",35996.1217595241
"MRFAP1__chr4",35952.8816183258
"ASAH1__chr8",35869.9402586641
"AHCYL1__chr1",35765.6315362169
"ANKRD11__chr16",35694.0652679757
"CALCB__chr11",35689.5752155825
"MYOF__chr10",35597.7887464431
"IER2__chr19",35503.258790798
"VDAC1__chr5",35495.8053592318
"COX17__chr3",35469.6919780907
"CTNNA1__chr5",35453.7479655069
"CECR1__chr22",35452.120670807
"LINC00657__chr20",35420.6824647454
"RBP1__chr3",35368.5125573936
"LASP1__chr17",35367.4235785446
"STMN1__chr1",35338.608080846
"RHOQ__chr2",35328.8118893177
"ITPRIPL2__chr16",35302.2464910451
