"","Gene","effect.size","p.value","q.value"
"MMP1__chr11","MIAT__chr22",58.44277417811,3.84331300931433e-05,0.000415746589868472
"IL11__chr19","IFITM4P__chr6",55.3615433768635,5.27239511564564e-38,2.15200265432983e-36
"COL5A1__chr9","COBL__chr7",54.7303210545172,4.44317360854728e-166,1.01165174523285e-163
"COL4A2__chr13","COA3__chr17",52.171874426178,1.26083928402415e-204,3.90612144089975e-202
"TACSTD2__chr1","STRAP__chr12",52.0512754137413,0,0
"GP2__chr16","GNB3__chr12",50.0327449113787,3.77022581153695e-47,1.8175950863884e-45
"CTRC__chr1","CT62__chr15",49.7510088969364,7.41671279622097e-124,1.06182604865897e-121
"CXCL1__chr4","CTSL2__chr9",46.6661804021063,4.00574251975188e-36,1.56729859499526e-34
"IL8__chr4","IGSF23__chr19",45.3083175945608,1.3025911037851e-34,4.89390987660654e-33
"LYZ__chr12","LRRC56__chr11",44.0800672755699,2.01044505896691e-95,2.03173212429715e-93
"ADH1C__chr4","ADC__chr1",43.7970669180011,5.36329136494503e-81,4.40676000933614e-79
"COL5A3__chr19","COCH__chr14",42.6935082356746,1.44183852702774e-102,1.61229967359588e-100
"SDS__chr12","SAMD4A__chr14",42.4368121078258,2.41496753973346e-11,3.99283084565905e-10
"CELA3B__chr1","CDRT1__chr17",42.3356528588473,3.38310998153816e-69,2.34190521725671e-67
"CRCT1__chr1","CPNE1__chr20",41.5969493440356,0.000307701329301835,0.00302074790708887
"CRLF1__chr19","CRABP1__chr15",40.6746412458848,3.54288324235124e-68,2.40839595373934e-66
"CCL2__chr17","CCDC88B__chr11",39.9269922928884,1.05001851674762e-67,7.08687497482017e-66
"BGN__chrX","BEST3__chr12",39.7802329291113,1.58154812926642e-94,1.54860603869828e-92
"POSTN__chr13","PLSCR2__chr3",39.2167251438998,1.95123721415214e-14,3.8733698396058e-13
"LUM__chr12","LRRC16B__chr14",38.8599370985758,9.26215864943811e-91,8.62247655946214e-89
"CD93__chr20","CD36__chr7",37.9709082774221,1.922888526279e-18,4.48626510736055e-17
"AKR1B10__chr7","AKAP9__chr7",37.6391587438026,1.14629103201715e-75,8.87811800125412e-74
"PLA2G7__chr6","PHOSPHO1__chr17",36.9527122050399,3.1774363480907e-05,0.000347495324688762
"VCAN__chr5","UCK1__chr9",36.7418822929235,5.79834544736437e-98,6.05398520797193e-96
"PXDN__chr2","PSMD12__chr17",36.5467244835119,1.36784522317748e-156,2.66490093068124e-154
"ESM1__chr5","ERCC.00158",36.0828390409256,4.9171640753989e-10,7.49996502799746e-09
"CXCL2__chr4","CTSO__chr4",36.0384219862388,1.48800231030613e-178,3.85209146029661e-176
"C1QA__chr1","C19orf47__chr19",36.0029274516931,1.94493845383163e-09,2.88504292782654e-08
"PNLIPRP1__chr10","PKP4__chr2",35.3052179383707,1.93290531238914e-107,2.35664803829225e-105
"COL5A2__chr2","COBRA1__chr9",35.158057657797,2.12469001976551e-135,3.29117967160071e-133
"C1QB__chr1","C19orf52__chr19",34.2602218956205,1.12023191913122e-14,2.24497802839255e-13
"COL6A2__chr21","COG2__chr1",33.8813146576246,5.34130643220467e-101,5.83468259860138e-99
"KRT7__chr12","KLHL1__chr13",33.7423669554568,2.95134637838202e-237,1.18669242252476e-234
"TOP2A__chr17","TMEM25__chr11",33.7038544151609,1.53500778494655e-11,2.57396425198934e-10
"CXCL6__chr4","CTSZ__chr20",32.923502166087,1.84568095112684e-25,5.41609916372595e-24
"FLT1__chr13","FLJ30838__chr2",32.7848810683149,8.76202262800802e-22,2.3126355254762e-20
"TYROBP__chr19","TSC22D1.AS1__chr13",32.569308716013,7.49891575910352e-11,1.20198905865596e-09
"CEACAM6__chr19","CDKL3__chr5",32.567449021767,3.54218859679351e-39,1.48756178004897e-37
"CPA3__chr3","COQ5__chr12",32.5235714846419,6.66354555023197e-06,7.72562477351434e-05
"BCAT1__chr12","BBX__chr3",32.2976072629208,2.04408253701996e-290,1.17057793286676e-287
"MKI67__chr10","MFI2.AS1__chr3",31.909590535953,9.35785108464431e-16,1.99149402925234e-14
"MMP9__chr20","MICA__chr6",31.3580119828022,6.11189681881165e-07,7.71045567969977e-06
"FGA__chr4","FBXW2__chr9",31.1901440046015,0.00024180404001732,0.00240253036185452
"HSPA6__chr1","HPS3__chr3",31.138759522389,0.000368425811026394,0.00357051844962913
"CXCL5__chr4","CTSW__chr11",31.1158234580287,2.09001304728322e-05,0.000232609343742982
"THBS2__chr6","TBX19__chr1",30.7610412973981,6.04513288212666e-91,5.68362792071789e-89
"UGT2B15__chr4","TUBB2B__chr6",30.3999364256076,8.55284997795303e-145,1.44314070431568e-142
"TGFBI__chr5","TBC1D3F__chr17",30.392022236102,8.17685673043708e-36,3.17302337765503e-34
"DCN__chr12","DBC1__chr9",29.4554360536578,5.25573912735583e-27,1.64988302373373e-25
"CYGB__chr17","CXCL6__chr4",29.3588616921357,1.73664609359189e-69,1.21103829803319e-67
"TSPAN8__chr12","TRAF3__chr14",29.3289669707898,1.07977637192976e-54,5.94915856464388e-53
"ISLR__chr15","INTS10__chr8",28.961842483994,9.57278991852388e-22,2.52310437768848e-20
"SOX10__chr22","SNHG3__chr1",28.8638680905647,5.16010926470068e-07,6.5534774787845e-06
"COL6A1__chr21","COG1__chr17",28.8233214477044,1.86594497160356e-89,1.69531865737327e-87
"MGST1__chr12","MEG8__chr14",28.6515131783838,0,0
"IFITM3__chr11","HTR7__chr10",27.832546365571,0,0
"CD44__chr11","CD1B__chr1",27.7453559109172,0,0
"IGFBP4__chr17","ID3__chr1",27.6140504290943,6.68559324019408e-116,8.77391257313803e-114
"AQP1__chr7","APOOL__chrX",27.548070323583,9.40330912534964e-146,1.60093455721493e-143
"INHBA__chr7","IL17F__chr6",27.3342614550354,2.35483972584237e-39,9.93342882566275e-38
"SPON2__chr4","SNTA1__chr20",27.267258520686,2.46794151866829e-54,1.35578950057539e-52
"ANPEP__chr15","ANO6__chr12",27.2520280368613,1.65102513902619e-254,7.61001782373582e-252
"C3__chr19","C2orf42__chr2",27.016685529753,9.7051980823821e-65,6.3683622694742e-63
"UBD__chr6","TSPAN18__chr11",26.898268575046,9.29096059179563e-72,6.7272250292626e-70
"H19__chr11","GTF2F1__chr19",26.7341366323984,1.0588959270471e-15,2.24842867745349e-14
"AKR1C2__chr10","AKIRIN2__chr6",26.1615923057083,2.63778091137332e-38,1.0860301451663e-36
"STC1__chr8","SPRY2__chr13",25.9560527196566,2.99700908190601e-16,6.47285458626968e-15
"LAMA4__chr6","KPNA4__chr3",25.0527661077886,3.64025687213308e-90,3.33949390143548e-88
"ZFP36L1__chr14","XIAP__chrX",24.8461169521959,0,0
"LGALS2__chr22","LAMTOR5__chr1",24.786764592486,1.80843269866787e-158,3.71475664558971e-156
"REG3G__chr2","RARA__chr17",24.7221454558201,2.74538921060613e-42,1.2150436838884e-40
"OLR1__chr12","NUAK1__chr12",24.5770138906805,0.000882444715974922,0.00804471596397276
"C1QC__chr1","C19orf53__chr19",24.4614304778303,2.24195801974048e-06,2.71593093955484e-05
"PAPPA__chr9","ORC5__chr7",24.3188683000512,4.92446477324637e-17,1.09743555760389e-15
"PRSS3__chr9","PRDX1__chr1",24.3083238360944,1.15772346914976e-140,1.88609121724071e-138
"SOX18__chr20","SNHG9__chr16",24.3075592510987,3.01175446613111e-23,8.39407566333133e-22
"KRT19__chr17","KLHDC7A__chr1",24.2112984771125,1.17909736572001e-156,2.32110229347674e-154
"CYP1A1__chr15","CXXC1P1__chrX",24.1584880542724,4.67733441654479e-42,2.04139181995066e-40
"MUC1__chr1","MS4A3__chr11",24.1361760925704,8.71849437847846e-212,2.84072597869803e-209
"WNT5A__chr3","VNN3__chr6",24.0545234877634,8.49930764870812e-63,5.42634851166507e-61
"CLDN2__chrX","CKAP5__chr11",23.8478077615716,3.44338990722048e-54,1.88072781695528e-52
"LGALS1__chr22","LAMTOR4__chr7",23.7712381241321,9.79542548108268e-95,9.74283951271055e-93
"DKK3__chr11","DHX40__chr17",23.6546962298923,8.88687585255464e-61,5.45273311238888e-59
"LTBP2__chr14","LRP4__chr11",23.2487661562427,4.83658065811552e-91,4.57008506385335e-89
"ALDH1A3__chr15","ALAS1__chr3",22.8970882789762,3.45628441276641e-100,3.75384269152067e-98
"PCSK1__chr5","PARP14__chr3",22.8192455511151,8.01294077570771e-189,2.2601276832735e-186
"CEACAM7__chr19","CDKL4__chr2",22.5989280069192,6.31706649262465e-70,4.48796701419626e-68
"NGFR__chr17","NDUFA10__chr2",22.4563500953823,0.00100052002794102,0.00903815845508095
"PRG4__chr1","PPFIA2__chr12",22.453347162924,1.843028380349e-63,1.18872185432885e-61
"PLAT__chr8","PHYHIP__chr8",22.2471290015466,2.17711038665494e-41,9.43647524931309e-40
"PECAM1__chr17","PCDHGB3__chr5",22.1437885667165,8.82272540686462e-17,1.94552934351141e-15
"CTGF__chr6","CSRNP1__chr3",22.1257009619195,2.86835486000399e-47,1.38990179857321e-45
"TCN1__chr11","TAAR1__chr6",22.0520897416177,6.64526482732539e-43,2.9829504680949e-41
"ANXA4__chr2","ANXA10__chr4",21.6588943785477,0,0
"REG1P__chr2","RAPGEFL1__chr17",21.6430779479358,1.93826516513351e-08,2.73149404106585e-07
"SOX4__chr6","SNORA11B__chr14",21.4813878856293,0,0
"IGFBP5__chr2","ID4__chr6",21.3961340719703,4.90344131988507e-35,1.86825068675783e-33
"VIM__chr10","UGT1A3__chr2",21.3813436523998,2.34749829924681e-218,8.2153746035493e-216
"AKR1C3__chr10","AKNAD1__chr1",21.3514417031381,1.60481026180052e-153,3.06340447752587e-151
"TM4SF4__chr3","TET3__chr2",21.1502745502201,0,0
"CHGB__chr20","CGN__chr1",21.0271106088905,6.81555156384124e-220,2.43019421610324e-217
"TFF1__chr21","TBC1D15__chr12",20.9914798345655,0.000811948575049966,0.00747768234468531
"CCL8__chr17","CCDC90B__chr11",20.9768450807034,2.89244885957577e-07,3.74393825673034e-06
"PLVAP__chr19","PITPNA.AS1__chr17",20.6519243344519,2.28700690240328e-14,4.52090548552482e-13
"TM4SF1__chr3","TET1__chr10",20.5832233738492,0,0
"LOXL2__chr8","LOC644554__chr19",20.119471543162,2.44740268544918e-70,1.75193242233404e-68
"DLK1__chr14","DIRAS2__chr9",19.5297366113865,1.13430775980896e-105,1.33143776676209e-103
"SERPINI2__chr3","SCRT1__chr8",19.2870986050998,1.76240726632245e-44,8.16322855856903e-43
"PLAU__chr10","PI15__chr8",19.2056732040179,7.20155119512336e-07,9.04886399504264e-06
"MT1G__chr16","MRPL15__chr8",18.6737459123279,3.29549742094256e-22,8.84635088934269e-21
"LCN2__chr9","KRTAP5.8__chr11",18.589708380896,8.96809583351497e-146,1.54071886419787e-143
"CYP1B1__chr2","CXXC5__chr5",18.577083696355,1.9048778684854e-39,8.07138608938049e-38
"DEFB1__chr8","DDX17__chr22",18.4348828150116,2.48247799166926e-97,2.57768511464647e-95
"SNAI2__chr8","SLC5A3__chr21",18.1794596651731,1.04006392748131e-72,7.67778441466477e-71
"KLK1__chr19","KIF9__chr3",18.1743638838717,1.61052841655067e-165,3.6233054780922e-163
"CALD1__chr7","CACNB4__chr2",17.9281961907311,1.13103631602553e-112,1.4540356666837e-110
"GREM1__chr15","GPR19__chr12",17.9031250690214,1.44424820965935e-25,4.27796280033581e-24
"AKR1C1__chr10","AKIRIN1__chr1",17.7846013105083,9.86595407363246e-51,5.05275880985112e-49
"CDH19__chr18","CDC37__chr19",17.7553005625517,6.17908290495471e-11,9.94653396404039e-10
"PMEPA1__chr20","PKD1L3__chr16",17.4278920974807,1.46180311339441e-217,4.93306343516562e-215
"FCN3__chr1","FBXO16__chr8",17.3653003234063,6.40751653254326e-06,7.4608285540359e-05
"COL12A1__chr6","CNRIP1__chr2",17.3137182935557,3.49759253812261e-53,1.8993535570529e-51
"RNASE1__chr14","REP15__chr12",17.2820543639977,1.29548793159946e-103,1.47482716454015e-101
"RRM2__chr2","RPAP1__chr15",17.1456118645223,3.89193159427902e-10,5.98451775986045e-09
"APCS__chr1","APBA1__chr9",17.0940729536479,1.15924131168722e-36,4.5831260059132e-35
"SRGN__chr10","SOS1__chr2",16.8914903792263,1.41030880795729e-17,3.20722212428122e-16
"HSD11B1__chr1","HORMAD2__chr22",16.8660394805158,4.59243908006332e-27,1.44646522891728e-25
"C11orf96__chr11","C11orf70__chr11",16.7614371492992,1.03937734063208e-56,5.88088412672607e-55
"VGF__chr7","UGCG__chr9",16.6930122805266,8.04630526884883e-171,1.94947534577827e-168
"MRC2__chr17","MLLT10__chr10",16.6130471923379,6.79267076922835e-72,4.95628927401071e-70
"ELTD1__chr1","EIF4G2__chr11",16.5359762565823,6.06194622218883e-12,1.04049645510377e-10
"CLDN1__chr3","CKAP2__chr13",16.4334648959641,4.49299971779395e-165,9.87310565893839e-163
"SPRR2A__chr1","SNX14__chr6",16.3949849910944,0.000379072594577963,0.00366243041530385
"TNFAIP6__chr2","TMEM176A__chr7",16.3860156990819,1.14467091188712e-60,7.00064430189085e-59
"RGS1__chr1","RBM33__chr7",16.3833743991237,4.90841459202329e-18,1.13259119609348e-16
"LOXL4__chr10","LOC644656__chr11",16.3728997890472,3.80687772557199e-283,1.99839931271832e-280
"IL32__chr16","IGFL2__chr19",16.3580651945961,2.40253214544707e-138,3.84771631225921e-136
"CD24__chrY","CCT5__chr5",16.3044716479199,5.92951346084976e-216,1.96589377865156e-213
"SLC4A4__chr4","SLC25A15__chr13",16.2937743294501,2.36438270484005e-243,1.0155023717288e-240
"CDH11__chr16","CDC25B__chr20",16.2721805510736,5.9639463626302e-81,4.87907611952318e-79
"NID1__chr1","NDUFAF4P1__chr15",16.2578068604213,2.81339996797327e-81,2.33191371029644e-79
"CD74__chr5","CD2__chr1",16.242241258971,5.30922500470541e-136,8.36114451157691e-134
"LIF__chr22","LCAT__chr16",16.2344129167878,3.52052275534083e-25,1.01884898974626e-23
"FGL1__chr8","FECH__chr18",16.20837872449,1.94583840334358e-59,1.16368525779705e-57
"CA12__chr15","C9orf170__chr9",16.1685906732671,1.12858767500996e-65,7.48352627450462e-64
"MXRA5__chrX","MSR1__chr8",16.0922237161621,1.20956912663424e-133,1.8434223673495e-131
"NPTX2__chr7","NKX2.5__chr5",16.0589282430389,1.47258085081815e-124,2.14067945528934e-122
"GC__chr4","GART__chr21",15.9731021412468,0,0
"CXCL3__chr4","CTSS__chr1",15.9397151453563,2.98938604132028e-12,5.2649969626161e-11
"SERPINA1__chr14","SCN2A__chr2",15.5629235721184,1.20351759414273e-105,1.40395527741415e-103
"SERPINA5__chr14","SCN3B__chr11",15.3679150787909,8.0831507357921e-163,1.71635261353932e-160
"ACP5__chr19","ACP2__chr11",15.3282284870343,6.81039070408862e-05,0.000718608394895962
"TFPI2__chr7","TBC1D20__chr20",15.2855602801061,2.11545670556246e-52,1.12931923225196e-50
"TNFAIP2__chr14","TMEM173__chr5",15.2135717744727,1.90710514173509e-21,5.00562124562634e-20
"LAPTM5__chr1","KRT1__chr12",15.070371827271,0.000113077231949919,0.00116644843307291
"COL13A1__chr10","CNST__chr1",14.9928074279481,9.33546150714047e-12,1.58652474426206e-10
"PIGR__chr1","PEX19__chr1",14.9424243112469,4.67590960881608e-81,3.85874846233215e-79
"THBS1__chr15","TBX18__chr6",14.9161433285233,2.82273958166807e-25,8.23211923061161e-24
"CENPF__chr1","CEBPA.AS1__chr19",14.8978915511048,2.57716017933272e-09,3.79603843094542e-08
"SCG2__chr2","RTN4RL2__chr11",14.8315713660174,1.8691412804519e-223,6.92608468979999e-221
"HTRA1__chr10","HSBP1L1__chr18",14.7867103781295,3.38816159350246e-74,2.58183378201651e-72
"CHI3L1__chr1","CGREF1__chr2",14.6938217490273,1.49152967913384e-17,3.38378485909619e-16
"PCK1__chr20","PAQR5__chr15",14.603651646325,1.70267762945125e-17,3.85817767882131e-16
"RGCC__chr13","RBFOX3__chr17",14.4695969804654,4.25319069459019e-11,6.94100153250134e-10
"ANKRD1__chr10","ANKRD13A__chr12",14.4407343020108,1.75061185208622e-13,3.30500127679575e-12
"MAFA__chr8","LRRN1__chr3",14.4257525364831,1.1023063224967e-170,2.63688416234718e-168
"CRYAB__chr11","CREG2__chr2",14.3971742921589,3.01596855508624e-23,8.39407566333133e-22
"THY1__chr11","TCF15__chr20",14.2476566369678,8.26650783996502e-37,3.27603835527426e-35
"SAT1__chrX","RRAGB__chrX",14.0558316277407,2.44630163896434e-204,7.45648522147549e-202
"G6PC2__chr2","FSTL5__chr4",14.0435639642096,5.59607240920488e-273,2.7116558048501e-270
"CYR61__chr1","CYP1B1__chr2",13.9135816184543,4.34814028624251e-70,3.10079830677022e-68
"CXCL17__chr19","CTSL1__chr9",13.8887345065298,8.66845258614207e-52,4.53785088567625e-50
"VSIG4__chrX","UPK3A__chr22",13.8526058970408,7.05787044426062e-05,0.000742235034255076
"COL8A1__chr3","COG8__chr16",13.8077723531106,3.71371146090148e-14,7.27271701431255e-13
"NOTCH3__chr19","NHLRC1__chr6",13.6724649949373,3.68419506099222e-76,2.8770214158112e-74
"HTRA3__chr4","HSCB__chr22",13.4572702982835,3.46841734981493e-33,1.26050290532313e-31
"FCER1G__chr1","FBXL19__chr16",13.3965002650986,0.000116150993949428,0.00119489465631806
"CELA2B__chr1","CDR2L__chr17",13.3408517011247,4.92120991169276e-43,2.21959486661503e-41
"LAMC3__chr9","KRBOX1__chr3",13.2146621610239,2.20245886915691e-40,9.4167574003003e-39
"SULF1__chr8","SSR2__chr1",13.1402298615852,1.05428132137602e-20,2.67075179776999e-19
"SLC30A8__chr8","SLC10A2__chr13",13.1063290270492,3.79367442898211e-221,1.37870883382507e-218
"PLCE1__chr10","PIAS2__chr18",13.0265102021171,5.19601431272507e-164,1.11584407365771e-161
"ACTA2__chr10","ACSS2__chr20",12.8887514930171,1.17135056432762e-06,1.45226692491413e-05
"ITGA11__chr15","IPCEF1__chr6",12.7798557658352,2.84168288519651e-51,1.4712910456012e-49
"SLCO2A1__chr3","SLC2A12__chr6",12.7060831155371,7.52035095661297e-09,1.08075735648724e-07
"ESAM__chr11","ERCC.00148",12.705249263923,8.21664796193193e-14,1.57803062179461e-12
"ANXA2__chr15","ANTXR1__chr2",12.6617558877064,1.30458576367413e-170,3.08175772023922e-168
"LGALS4__chr19","LANCL3__chrX",12.6533736214656,3.92979898102964e-57,2.25046488313631e-55
"APLNR__chr11","APCS__chr1",12.6413270367711,3.59574905347035e-06,4.28992838462643e-05
"CPA4__chr7","COQ6__chr14",12.6400227503399,5.13522373326326e-08,7.06813241887903e-07
"EMP1__chr12","ELL3__chr15",12.5607052684165,1.45677756035373e-61,9.05598103143582e-60
"KRT17__chr17","KLHDC3__chr6",12.5484256946543,1.56474024450293e-13,2.96594394589933e-12
"CALCB__chr11","CACNA2D3__chr3",12.4581030079515,5.47885960489286e-05,0.000582992617191809
"SCG5__chr15","RTN4__chr2",12.3848604039514,1.72409681053845e-225,6.64938398480726e-223
"LTB__chr6","LRP8__chr1",12.3299524019761,5.33985224328411e-12,9.19057629267606e-11
"C6orf222__chr6","C5orf51__chr5",12.3063610903424,8.61903548377858e-74,6.54146717158424e-72
"KLHL41__chr2","KIF2A__chr5",12.3051274933408,1.65886907958744e-146,2.90271369130032e-144
"FSTL1__chr3","FOXK2__chr17",12.2694896485283,6.78480530109638e-62,4.23165843498744e-60
"IL6__chr7","IGSF1__chrX",12.2378147916746,1.00482949196661e-08,1.43099229383459e-07
"SERPINH1__chr11","SCRN2__chr17",12.2241804028485,4.45064520697187e-78,3.57907630303636e-76
"KRT23__chr17","KLHDC8B__chr3",12.1944672038241,7.50600158802958e-47,3.60021365509094e-45
"HSD17B2__chr16","HOXA4__chr7",12.1533646043697,1.78540959912325e-57,1.03498989583531e-55
"PRRX1__chr1","PRCP__chr11",12.0522846876558,2.4883324366987e-48,1.24075214745995e-46
"SLC6A14__chrX","SLC25A34__chr1",12.0162827093009,5.01082397417079e-05,0.000535299895216956
"EDNRA__chr4","E2F7__chr12",12.0104290066042,6.43518567876464e-43,2.89552711803082e-41
"FMOD__chr1","FLJ39051__chr11",11.9751798528042,4.30843910280076e-34,1.60277327095923e-32
"PDZK1IP1__chr1","PCDHGA2__chr5",11.9445741789326,2.94785099411518e-143,4.88670948129726e-141
"CPE__chr4","COTL1__chr16",11.8440115478112,1.23024739639345e-139,1.98711241855071e-137
"SDC4__chr20","S1PR3__chr9",11.7104365327271,1.96004632605386e-99,2.09270934857434e-97
"BIRC3__chr11","BHLHE41__chr12",11.684571271551,2.33626821962319e-92,2.24115719870249e-90
"GATM__chr15","GAL3ST1__chr22",11.6338604266459,1.61333923103294e-96,1.65700460804677e-94
"FYB__chr5","FRMPD2__chr10",11.5884697326398,1.28547042816909e-06,1.58776602297643e-05
"VTCN1__chr1","UQCR11__chr19",11.3198964993728,2.22421293283164e-90,2.05039882949524e-88
"IL17C__chr16","IFT122__chr3",11.2118444489049,0.000455965444641615,0.00436074644374354
"HCK__chr20","H2AFZ__chr4",11.2022127874953,1.63293214382549e-12,2.91124072207681e-11
"FGF19__chr11","FCGRT__chr19",11.1797818228106,6.58162140210995e-06,7.63532727176635e-05
"SGK1__chr6","SEH1L__chr18",11.1126644598812,1.75555665774424e-86,1.55758261587092e-84
"ANXA1__chr9","ANP32A__chr15",11.060665105936,6.11575756865921e-62,3.82700617657357e-60
"SERPING1__chr11","SCRN1__chr7",10.901634507431,6.07670551928983e-180,1.61743071695126e-177
"EXOC3L2__chr19","ESD__chr13",10.874149006857,1.99031305654811e-07,2.60297135935268e-06
"SLC7A11__chr4","SLC25A48__chr5",10.8317961169867,3.64103029356573e-85,3.12764502217296e-83
"ATP10B__chr5","ATHL1__chr11",10.6485016252412,3.27371128847329e-177,8.36035080129301e-175
"ITGB2__chr21","IQCH__chr15",10.4759054728179,9.3393940091415e-05,0.000969757516399758
"ONECUT2__chr18","NUBPL__chr14",10.4361848003859,2.37793531079303e-153,4.49382215033667e-151
"EDN1__chr6","E2F4__chr16",10.218663459075,2.41593762180817e-110,3.02360193224707e-108
"PDK4__chr7","PCDHA5__chr5",10.1719238466929,8.30994001726982e-182,2.27596009342558e-179
"TMC5__chr16","TEX40__chr11",10.0848311231573,4.20208509847854e-169,9.80382767790709e-167
"WISP1__chr8","VIM__chr10",10.0649953635758,1.61085600083752e-18,3.78160952842577e-17
"FGB__chr4","FBXW4P1__chr22",10.0548874168392,9.07624792187749e-05,0.000943470479800004
"GPX2__chr14","GPR143__chrX",9.98795262338865,3.63923441606386e-113,4.74305186170861e-111
"LAMA2__chr6","KPNA2__chr17",9.90350508116246,1.2421347382744e-34,4.67606818404575e-33
"HEYL__chr1","HDAC4__chr2",9.8882741978409,8.44975202309166e-52,4.43565038145517e-50
"SOD2__chr6","SNAR.A5__chr19",9.83650104864899,3.70856539419133e-107,4.46397890569604e-105
"TIMP1__chrX","TDG__chr12",9.82104653508943,3.7993318557156e-36,1.48962185496501e-34
"CTHRC1__chr8","CSRNP2__chr12",9.65115865224344,3.22697052284152e-42,1.42152188672865e-40
